"school","male","math","langarts","daysabs"
"2","0",56.98883,59.84974,6
"2","0",64.20476,81.08016,0
"2","0",70.94328,58.68647,8
"2","1",45.2079,57.54914,0
"2","0",40.15026,48.41482,1
"2","1",25.25478,13.13055,0
"2","1",55.88246,86.86945,4
"2","0",98.99289,93.25195,17
"2","1",59.26457,44.11754,6
"2","0",41.88515,41.31353,0
"2","0",61.04388,56.98883,0
"2","0",73.72179,70.94328,1
"2","1",61.04388,47.88486,3
"2","1",53.71444,61.04388,1
"2","1",46.82059,59.26457,2
"2","0",36.45115,46.82059,2
"2","1",56.98883,61.04388,2
"2","0",20.40919,15.35938,5
"2","0",47.88486,54.7921,41
"2","1",56.98883,43.01117,3
"2","0",54.7921,71.82729,7
"2","0",47.88486,69.27759,1
"2","1",36.45115,47.88486,1
"2","0",66.98323,68.48849,3
"2","0",54.7921,53.17941,0
"2","0",76.98948,69.27759,0
"2","0",65.56011,70.94328,2
